code,factor_value,rank
002328.SZ,0.33524060150375934,1
603315.SH,0.26560150375939856,2
605189.SH,0.26460150375939856,3
002962.SZ,0.25903007518796994,4
603002.SH,0.24899248120300754,5
600749.SH,0.24554135338345864,6
000026.SZ,0.24042105263157906,7
600590.SH,0.23721804511278197,8
603637.SH,0.2355639097744361,9
000586.SZ,0.222,10
603687.SH,0.21936842105263157,11
002560.SZ,0.21878195488721802,12
000823.SZ,0.21509774436090223,13
002635.SZ,0.20644360902255643,14
603178.SH,0.20531578947368417,15
002705.SZ,0.20427067669172938,16
600552.SH,0.1971804511278196,17
603777.SH,0.18922556390977444,18
603608.SH,0.1871127819548872,19
002023.SZ,0.18448120300751877,20
600683.SH,0.18341353383458647,21
002647.SZ,0.17894736842105263,22
603936.SH,0.16854135338345863,23
600791.SH,0.16349624060150375,24
605366.SH,0.1621503759398496,25
002439.SZ,0.1600977443609022,26
600152.SH,0.1575263157894737,27
002348.SZ,0.1571278195488722,28
002201.SZ,0.15478947368421048,29
002534.SZ,0.1533233082706767,30
600353.SH,0.15165413533834585,31
600539.SH,0.1512857142857143,32
002237.SZ,0.14869924812030072,33
603025.SH,0.14799248120300754,34
002051.SZ,0.14786466165413537,35
002272.SZ,0.1468195488721805,36
600531.SH,0.14464661654135333,37
603328.SH,0.14225563909774439,38
600292.SH,0.13911278195488722,39
603477.SH,0.13785714285714287,40
603269.SH,0.13756390977443608,41
605208.SH,0.13603759398496243,42
002772.SZ,0.13600751879699255,43
603788.SH,0.13593233082706765,44
603101.SH,0.13381203007518794,45
603803.SH,0.1337894736842105,46
605018.SH,0.131812030075188,47
603399.SH,0.1307518796992481,48
605069.SH,0.12866165413533837,49
003015.SZ,0.1282932330827068,50
002950.SZ,0.12758646616541353,51
603010.SH,0.12648120300751878,52
002840.SZ,0.12484210526315793,53
000695.SZ,0.12447368421052636,54
002283.SZ,0.1241954887218045,55
000612.SZ,0.12254887218045113,56
002815.SZ,0.12203007518796993,57
002454.SZ,0.12193984962406015,58
600510.SH,0.12074436090225563,59
002708.SZ,0.12012781954887221,60
000810.SZ,0.12007518796992482,61
603158.SH,0.11918045112781953,62
603165.SH,0.11873684210526317,63
603966.SH,0.11799248120300755,64
603458.SH,0.11757894736842103,65
603303.SH,0.1171428571428571,66
605007.SH,0.11712030075187971,67
603088.SH,0.11541353383458647,68
002324.SZ,0.11333082706766917,69
600151.SH,0.1130526315789474,70
002606.SZ,0.11301503759398498,71
605055.SH,0.11187218045112782,72
603909.SH,0.11122556390977444,73
002181.SZ,0.11015789473684208,74
605006.SH,0.1101203007518797,75
603668.SH,0.10996992481203013,76
600986.SH,0.10971428571428572,77
600769.SH,0.10931578947368419,78
600776.SH,0.10917293233082706,79
002725.SZ,0.10874436090225569,80
002418.SZ,0.1076390977443609,81
002443.SZ,0.10673684210526314,82
000819.SZ,0.10667669172932333,83
600156.SH,0.105984962406015,84
002458.SZ,0.10506766917293231,85
002654.SZ,0.10485714285714284,86
603037.SH,0.10481954887218047,87
600817.SH,0.10475939849624061,88
600596.SH,0.10475939849624061,89
001299.SZ,0.10470676691729325,90
600619.SH,0.10224812030075194,91
603889.SH,0.1006390977443609,92
002448.SZ,0.10063157894736845,93
002559.SZ,0.09978947368421053,94
603033.SH,0.09869172932330826,95
002669.SZ,0.09779699248120305,96
603912.SH,0.0977669172932331,97
000551.SZ,0.09730827067669172,98
002582.SZ,0.09722556390977441,99
001300.SZ,0.09720300751879697,100
