code1,code2,name1,name2,beta,score,half_life,p_value,correlation,data_points
159812.OF,518860.OF,前海开源黄金ETF,建信上海金ETF,1.0029,150.0000,4.7826,0.0000,0.9999,240
159812.OF,518860.OF,前海开源黄金ETF,建信上海金ETF,1.0029,150.0000,4.7826,0.0000,0.9999,240
159812.OF,518860.OF,前海开源黄金ETF,建信上海金ETF,1.0029,150.0000,4.7826,0.0000,0.9999,240
159338.OF,563800.OF,国泰中证A500ETF,广发中证A500ETF,1.0016,150.0000,7.5070,0.0000,0.9999,233
159338.OF,563800.OF,国泰中证A500ETF,广发中证A500ETF,1.0016,150.0000,7.5070,0.0000,0.9999,233
159338.OF,563800.OF,国泰中证A500ETF,广发中证A500ETF,1.0016,150.0000,7.5070,0.0000,0.9999,233
159351.OF,159361.OF,嘉实中证A500ETF,易方达中证A500ETF,1.0042,150.0000,9.2321,0.0000,0.9997,232
159351.OF,159361.OF,嘉实中证A500ETF,易方达中证A500ETF,1.0042,150.0000,9.2321,0.0000,0.9997,232
159351.OF,159361.OF,嘉实中证A500ETF,易方达中证A500ETF,1.0042,150.0000,9.2321,0.0000,0.9997,232
159351.OF,159353.OF,嘉实中证A500ETF,景顺长城中证A500ETF,0.9860,150.0000,9.2571,0.0000,0.9998,240
159351.OF,159353.OF,嘉实中证A500ETF,景顺长城中证A500ETF,0.9860,150.0000,9.2571,0.0000,0.9998,240
159351.OF,159353.OF,嘉实中证A500ETF,景顺长城中证A500ETF,0.9860,150.0000,9.2571,0.0000,0.9998,240
159339.OF,159353.OF,银华中证A500ETF,景顺长城中证A500ETF,1.0032,150.0000,9.6619,0.0000,0.9999,240
159339.OF,159353.OF,银华中证A500ETF,景顺长城中证A500ETF,1.0032,150.0000,9.6619,0.0000,0.9999,240
159339.OF,159353.OF,银华中证A500ETF,景顺长城中证A500ETF,1.0032,150.0000,9.6619,0.0000,0.9999,240
159339.OF,159351.OF,银华中证A500ETF,嘉实中证A500ETF,1.0168,150.0000,9.6742,0.0000,0.9999,240
159339.OF,159351.OF,银华中证A500ETF,嘉实中证A500ETF,1.0168,150.0000,9.6742,0.0000,0.9999,240
159339.OF,159351.OF,银华中证A500ETF,嘉实中证A500ETF,1.0168,150.0000,9.6742,0.0000,0.9999,240
159629.OF,159845.OF,富国中证1000ETF,华夏中证1000ETF,1.0036,150.0000,10.3460,0.0000,0.9999,240
159629.OF,159845.OF,富国中证1000ETF,华夏中证1000ETF,1.0036,150.0000,10.3460,0.0000,0.9999,240
159629.OF,159845.OF,富国中证1000ETF,华夏中证1000ETF,1.0036,150.0000,10.3460,0.0000,0.9999,240
159937.OF,518860.OF,博时黄金ETF,建信上海金ETF,1.0020,150.0000,10.7722,0.0000,1.0000,240
159937.OF,518860.OF,博时黄金ETF,建信上海金ETF,1.0020,150.0000,10.7722,0.0000,1.0000,240
159937.OF,518860.OF,博时黄金ETF,建信上海金ETF,1.0020,150.0000,10.7722,0.0000,1.0000,240
159310.OF,159599.OF,天弘中证芯片产业ETF,东财中证芯片产业ETF,0.9971,150.0000,11.0113,0.0000,0.9998,240
159310.OF,159599.OF,天弘中证芯片产业ETF,东财中证芯片产业ETF,0.9971,150.0000,11.0113,0.0000,0.9998,240
159310.OF,159599.OF,天弘中证芯片产业ETF,东财中证芯片产业ETF,0.9971,150.0000,11.0113,0.0000,0.9998,240
159351.OF,560530.OF,嘉实中证A500ETF,摩根中证A500ETF,1.0014,150.0000,11.6440,0.0000,0.9998,240
159351.OF,560530.OF,嘉实中证A500ETF,摩根中证A500ETF,1.0014,150.0000,11.6440,0.0000,0.9998,240
159351.OF,560530.OF,嘉实中证A500ETF,摩根中证A500ETF,1.0014,150.0000,11.6440,0.0000,0.9998,240
159339.OF,159361.OF,银华中证A500ETF,易方达中证A500ETF,1.0222,150.0000,13.2082,0.0000,0.9998,232
159339.OF,159361.OF,银华中证A500ETF,易方达中证A500ETF,1.0222,150.0000,13.2082,0.0000,0.9998,232
159339.OF,159361.OF,银华中证A500ETF,易方达中证A500ETF,1.0222,150.0000,13.2082,0.0000,0.9998,232
159629.OF,560010.OF,富国中证1000ETF,广发中证1000ETF,1.0021,150.0000,13.4652,0.0000,0.9999,240
159629.OF,560010.OF,富国中证1000ETF,广发中证1000ETF,1.0021,150.0000,13.4652,0.0000,0.9999,240
159629.OF,560010.OF,富国中证1000ETF,广发中证1000ETF,1.0021,150.0000,13.4652,0.0000,0.9999,240
159338.OF,159351.OF,国泰中证A500ETF,嘉实中证A500ETF,0.9979,150.0000,14.3001,0.0000,0.9998,240
159338.OF,159351.OF,国泰中证A500ETF,嘉实中证A500ETF,0.9979,150.0000,14.3001,0.0000,0.9998,240
159338.OF,159351.OF,国泰中证A500ETF,嘉实中证A500ETF,0.9979,150.0000,14.3001,0.0000,0.9998,240
159357.OF,159362.OF,博时中证A500ETF,工银中证A500ETF,1.0195,150.0000,15.0175,0.0000,0.9999,223
159357.OF,159362.OF,博时中证A500ETF,工银中证A500ETF,1.0195,150.0000,15.0175,0.0000,0.9999,223
159357.OF,159362.OF,博时中证A500ETF,工银中证A500ETF,1.0195,150.0000,15.0175,0.0000,0.9999,223
159547.OF,563020.OF,华夏中证红利低波动ETF,易方达中证红利低波动ETF,1.0075,150.0000,15.3295,0.0000,0.9979,240
159547.OF,563020.OF,华夏中证红利低波动ETF,易方达中证红利低波动ETF,1.0075,150.0000,15.3295,0.0000,0.9979,240
