level_idx,level_px,qty,avg_cost,unrealized_pnl
-30,0.852000,0,0.000000,0.000000
-29,0.853000,0,0.000000,0.000000
-28,0.854000,0,0.000000,0.000000
-27,0.855000,0,0.000000,0.000000
-26,0.856000,0,0.000000,0.000000
-25,0.857000,0,0.000000,0.000000
-24,0.858000,0,0.000000,0.000000
-23,0.859000,0,0.000000,0.000000
-22,0.860000,0,0.000000,0.000000
-21,0.861000,0,0.000000,0.000000
-20,0.862000,0,0.000000,0.000000
-19,0.863000,0,0.000000,0.000000
-18,0.864000,0,0.000000,0.000000
-17,0.865000,0,0.000000,0.000000
-16,0.866000,0,0.000000,0.000000
-15,0.867000,0,0.000000,0.000000
-14,0.868000,0,0.000000,0.000000
-13,0.869000,0,0.000000,0.000000
-12,0.870000,0,0.000000,0.000000
-11,0.871000,0,0.000000,0.000000
-10,0.872000,0,0.000000,0.000000
-9,0.873000,0,0.000000,0.000000
-8,0.874000,0,0.000000,0.000000
-7,0.875000,0,0.000000,0.000000
-6,0.876000,0,0.000000,0.000000
-5,0.877000,0,0.000000,0.000000
-4,0.878000,0,0.000000,0.000000
-3,0.879000,0,0.000000,0.000000
-2,0.880000,0,0.000000,0.000000
-1,0.881000,0,0.000000,0.000000
0,0.882000,0,0.000000,0.000000
1,0.883000,0,0.000000,0.000000
2,0.884000,100,0.884000,0.000000
3,0.885000,0,0.000000,0.000000
4,0.886000,0,0.000000,0.000000
5,0.887000,0,0.000000,0.000000
6,0.888000,0,0.000000,0.000000
7,0.889000,0,0.000000,0.000000
8,0.890000,0,0.000000,0.000000
9,0.891000,0,0.000000,0.000000
10,0.892000,0,0.000000,0.000000
