日期,融资余额,融资余额占流通市值(%),融资余量,期间买入额,买入额占A股成交额(%),期间偿还额,期间净买入额,期间融资买入个股数,占融资标的比(%),融资余额日变化,融资余额变化率(%),融资余额_5日均,融资余额_20日均,净买入占买入比(%),偿还率(%)
2025-09-22,2400843173834.0,2.5347608566315016,218921403566.0,256439680092.0,11.969387955859517,237206446252.0,19233233840.0,4151,94.85831809872029,19233233840.0,0.8075727900282548,2386509139017.4,2304792595645.5,7.500100543371412,92.49989945662858
2025-09-23,2400041108710.0,2.544134119172585,220979324843.0,277821517135.0,11.03135528089786,278623582259.0,-802065124.0,4154,94.90518620059402,-802065124.0,-0.03340764331221102,2391355114722.0,2315186660076.9,-0.2886979857684161,100.28869798576842
2025-09-24,2414122813547.0,2.5312833797668532,218171254890.0,286757601958.0,12.217245524802799,272675897121.0,14081704837.0,4151,94.83664610463788,14081704837.0,0.5867276517012909,2396475328551.8,2325275098968.85,4.910664875438064,95.08933512456194
2025-09-25,2427410857161.0,2.543513724673875,219536763915.0,288281282362.0,12.053048336243949,274993238748.0,13288043614.0,4155,94.86301369863014,13288043614.0,0.550429478543224,2404805578649.2,2335223528455.45,4.609402145406709,95.3905978545933
2025-09-26,2408055682690.0,2.5478124282083563,219664893833.0,245252296100.0,11.322260450899373,264607470571.0,-19355174471.0,4157,94.8870120976946,-19355174471.0,-0.7973588160364864,2410094727188.4,2343352712366.1,-7.891944246307099,107.8919442463071
2025-09-29,2412450403168.0,2.522287827184284,217017106392.0,265428143387.0,12.18598535789506,261033422909.0,4394720478.0,4150,94.72723122574754,4394720478.0,0.18250078308366113,2412416173055.2,2349933797153.95,1.6557100622116028,98.3442899377884
2025-09-30,2378389729764.0,2.4746955451524113,212915949191.0,259860035140.0,11.826605756917074,293920708544.0,-34060673404.0,4149,94.6611909650924,-34060673404.0,-1.4118704102381474,2408085897266.0,2355234967871.55,-13.107315015042525,113.10731501504252
2025-10-09,2429194647139.0,2.494538692326343,214284549038.0,342936948153.0,12.835340463423575,292132030778.0,50804917375.0,4154,94.7752680812229,50804917375.0,2.1361056490956765,2411100263984.4,2362999009015.0,14.814652561827074,85.18534743817293
2025-10-10,2425658737267.0,2.521150294149672,216615053934.0,286869982269.0,11.320181665331605,290405892141.0,-3535909872.0,4155,94.7764598540146,-3535909872.0,-0.14555893559885513,2410749840005.6,2371071419636.25,-1.2325827345310574,101.23258273453106
2025-10-13,2427898737082.0,2.5334053911116197,219658244325.0,262783493281.0,11.068196210536444,260543493466.0,2239999815.0,4154,94.7536496350365,2239999815.0,0.09234604112215994,2414718450884.0,2378901008342.35,0.8524126789823592,99.14758732101764
2025-10-14,2430233470533.0,2.5636114716401135,223054235085.0,290077021126.0,11.171480057561476,287742287675.0,2334733451.0,4158,94.8448905109489,2334733451.0,0.09616271944710153,2418275064357.0,2385535531461.65,0.8048667357163283,99.19513326428367
2025-10-15,2432547109244.0,2.53158091117459,220223451740.0,234277816330.0,11.207391178093394,231964177619.0,2313638711.0,4155,94.7764598540146,2313638711.0,0.09520232270081586,2429106540253.0,2391988142134.5,0.9875620096019015,99.0124379903981
2025-10-16,2440137890718.0,2.5429045115308146,221703619367.0,215744964362.0,11.071460357281712,208154182888.0,7590781474.0,4156,94.77765108323831,7590781474.0,0.3120507489928537,2431295188968.8,2398531604011.3,3.51840493540483,96.48159506459517
2025-10-17,2412834699555.0,2.571561338979862,225924659445.0,198773320899.0,10.17051537950143,226076512062.0,-27303191163.0,4159,94.82444140446876,-27303191163.0,-1.1189200113181363,2428730381426.4,2402989251525.8,-13.735842938838458,113.73584293883845
