datetime,benchmark,score_equal_weight,score_ic_weighted,score_rule_based,score_ml_lightgbm,score_ml_ridge,score_ml_lasso
2026-01-20,-0.0032907724,0.002961371493316989,0.004209493247615992,0.002961371493316989,-0.0017734883621335351,-0.006487496642264667,5.708243997526452e-05
2026-01-21,0.0008878708,0.002961371493316989,0.004209493247615992,0.002961371493316989,-0.0017734883621335351,-0.006487496642264667,5.708243997526452e-05
2026-01-22,0.00013542175,0.002961371493316989,0.004209493247615992,0.002961371493316989,-0.0017734883621335351,-0.006487496642264667,5.708243997526452e-05
2026-01-23,-0.0044900775,0.002961371493316989,0.004209493247615992,0.002961371493316989,-0.0017734883621335351,-0.006487496642264667,5.708243997526452e-05
2026-01-26,0.0009484291,0.002961371493316989,0.004209493247615992,0.002961371493316989,-0.0017734883621335351,-0.006487496642264667,5.708243997526452e-05
2026-01-27,-0.00026983023,0.002961371493316989,0.004209493247615992,0.002961371493316989,-0.0017734883621335351,-0.006487496642264667,5.708243997526452e-05
2026-01-28,0.002613902,0.002961371493316989,0.004209493247615992,0.002961371493316989,-0.0017734883621335351,-0.006487496642264667,5.708243997526452e-05
2026-01-29,0.0076048374,0.002961371493316989,0.004209493247615992,0.002961371493316989,-0.0017734883621335351,-0.006487496642264667,5.708243997526452e-05
2026-01-30,-0.009998143,0.002961371493316989,0.004209493247615992,0.002961371493316989,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-02,-0.021324456,0.002961371493316989,0.004209493247615992,0.002961371493316989,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-03,0.011752129,0.002961371493316989,0.004209493247615992,0.002961371493316989,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-04,0.008276701,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-05,-0.006014526,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-06,-0.0057424903,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-09,0.016250253,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-10,0.0011103153,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-11,-0.002218306,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-12,0.0012220144,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-13,-0.012537181,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-24,0.010112882,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-25,0.006022215,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-26,-0.0019046664,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,0.00698562069885611,0.006793056792700369,0.004231900784288145
2026-02-27,-0.0034313798,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-02,0.003825307,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-03,-0.015389085,-0.0027843413552420815,-0.0017564490582075987,-0.0027843413552420815,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-04,-0.011443555,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-05,0.009792328,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-06,0.0027433634,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-09,-0.009651482,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-10,0.012848139,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-11,0.006361842,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-12,-0.0036008358,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-13,-0.0039295554,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-16,0.000518322,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-17,-0.0073037744,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-18,0.0045046806,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,-0.00271629213488378,-0.004174279882556586,-0.005443244553789084
2026-03-19,-0.016117394,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-03-20,-0.0035411716,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-03-23,-0.03262955,-0.002866223909930965,-0.0021758047089128763,-0.002866223909930965,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-03-24,0.012838483,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-03-25,0.014023185,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-03-26,-0.013209939,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-03-27,0.005592346,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-03-30,-0.002358675,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-03-31,-0.009327769,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-04-01,0.01708293,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-04-02,-0.010419548,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-04-03,-0.008511066,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-04-07,-3.8325787e-05,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-04-08,0.034891605,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.0026094987195435237,0.002166204634003188,-0.0001882689681985683
2026-04-09,-0.0063844323,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-10,0.015406609,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-13,0.0020662546,0.003955660837133834,0.006314691493443547,0.003955660837133834,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-14,0.011865735,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-15,-0.0034096837,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-16,0.010962009,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-17,-0.001676321,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-20,0.0060842037,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-21,0.002219677,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-22,0.0066337585,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-23,-0.00277102,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-24,-0.0035434961,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-27,0.00033128262,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-28,-0.0026703477,0.0,0.0,0.0,0.011506745012548114,0.010858238114876517,0.003373321785281602
2026-04-29,0.010957837,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,-0.00063198805,0.0,0.0,0.0,0.0,0.0,0.0
